ID,Name,Price_Intraday_,Change,% Change,Volume,AvgVol_3month_,MarketCap,PerRatio_TTM,PERatio_TTM_
79,"Marvell Technology, Inc.",40.67,1.36,3.46%,11.872,11.693,11.69,34.7,36
,,,,,,,,,
80,Southwestern Energy Company,5.97,-0.03,-0.50%,11.281,24.54,24.54,6.588,2.39
,,,,,,,,,
81,Nokia Oyj,5.03,0.01,0.20%,11.611,21.383,21.38,28.151,15.72
,,,,,,,,,
82,KeyCorp,18.18,-0.16,-0.87%,11.329,10.81,10.81,16.961,8.34
,,,,,,,,,
83,Ares Capital Corporation,18.9,-0.71,-3.62%,11.289,2.805,2.81,9.78,11.18
,,,,,,,,,
84,Freeport-McMoRan Inc.,45.05,-0.05,-0.11%,11.11,13.953,13.95,64.391,17.06
,,,,,,,,,
85,General Electric Company,80.2,1.34,1.70%,11.05,7.95,7.95,87.632,50
,,,,,,,,,
86,"Peloton Interactive, Inc.",11.63,0.53,4.77%,10.99,12.457,12.46,3.955,66
,,,,,,,,,
87,Telefonaktiebolaget LM Ericsson (publ),6.06,-0.27,-4.27%,10.92,10.862,10.862,20.204,9.32
,,,,,,,,,
88,"Robinhood Markets, Inc.",9.32,0.28,3.10%,10.72,10.129,10.13,7.788,23
,,,,,,,,,
89,QuantumScape Corporation,8.3,0.69,9.07%,10.69,7.35,7.352,3.618,36
,,,,,,,,,
90,Infosys Limited,18.52,0.12,0.65%,10.39,7.51,7.51,77.585,26.08
,,,,,,,,,
91,AGNC Investment Corp.,11.3,0.02,0.18%,10.22,12.675,12.675,6.459,20
,,,,,,,,,
92,DraftKings Inc.,14.11,0.48,3.52%,10.13,16.45,16.45,6.333,19
,,,,,,,,,
93,"Mitsubishi UFJ Financial Group, Inc.",7.7,0.33,4.48%,10.05,4.032,4.032,99.046,22
,,,,,,,,,
94,PetrÃ³leo Brasileiro S.A. - Petrobras,9.63,-0.01,-0.10%,9.86,15.373,15.373,65.642,1.85
,,,,,,,,,
95,Regions Financial Corporation,22.43,0.07,0.31%,9.45,7.591,7.591,20.96,11.16
,,,,,,,,,
96,Roblox Corporation,33.21,0.03,0.09%,10.12,15.604,15.604,19.953,86
,,,,,,,,,
97,Kosmos Energy Ltd.,7.62,0.52,7.32%,9.58,5.35,5.35,3.474,7.4
,,,,,,,,,
98,"Block, Inc.",71.65,-0.15,-0.21%,9.28,12.605,12.605,42.852,10
,,,,,,,,,
99,"Pinterest, Inc.",26.69,0.25,0.95%,8.06,12.81,12.813,18.102,296.56
,,,,,,,,,
100,The Charles Schwab Corporation,82.98,-0.5,-0.60%,9.22,7.248,7.248,154.902,25.15
